model_id,family,generation,size,variant,attribute,layer,layer_normalized,mean_accuracy,std_accuracy
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,17,0.5483870967741935,0.7,0.2806243040080456
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,18,0.5806451612903226,0.75,0.2091650066335189
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,19,0.6129032258064516,0.7,0.257390753524675
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,20,0.6451612903225806,0.725,0.2669269563007828
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,21,0.6774193548387096,0.725,0.2669269563007828
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,22,0.7096774193548387,0.75,0.22360679774997896
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,23,0.7419354838709677,0.75,0.22360679774997896
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,24,0.7741935483870968,0.725,0.2669269563007828
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,25,0.8064516129032258,0.75,0.22360679774997896
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,26,0.8387096774193549,0.75,0.22360679774997896
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,27,0.8709677419354839,0.775,0.18371173070873836
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,28,0.9032258064516129,0.775,0.18371173070873836
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,29,0.9354838709677419,0.775,0.18371173070873836
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,30,0.967741935483871,0.8,0.15
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,31,1.0,0.75,0.11180339887498948
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,0,0.0,0.525,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,1,0.02564102564102564,0.575,0.1274754878398196
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,2,0.05128205128205128,0.7,0.1
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,3,0.07692307692307693,0.65,0.22912878474779202
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,4,0.10256410256410256,0.65,0.16583123951777
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,5,0.1282051282051282,0.825,0.1695582495781317
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,6,0.15384615384615385,0.75,0.2091650066335189
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,7,0.1794871794871795,0.725,0.18371173070873836
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,8,0.20512820512820512,0.725,0.2
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,9,0.23076923076923078,0.65,0.18371173070873836
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,10,0.2564102564102564,0.625,0.1767766952966369
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,11,0.28205128205128205,0.65,0.18371173070873836
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,12,0.3076923076923077,0.65,0.18371173070873836
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,13,0.3333333333333333,0.625,0.15811388300841897
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,14,0.358974358974359,0.675,0.09999999999999999
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,15,0.38461538461538464,0.75,0.2091650066335189
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,16,0.41025641025641024,0.8,0.15
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,17,0.4358974358974359,0.75,0.11180339887498948
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,18,0.46153846153846156,0.75,0.11180339887498948
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,19,0.48717948717948717,0.75,0.11180339887498948
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,20,0.5128205128205128,0.775,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,21,0.5384615384615384,0.775,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,22,0.5641025641025641,0.775,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,23,0.5897435897435898,0.75,0.15811388300841897
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,24,0.6153846153846154,0.775,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,25,0.6410256410256411,0.775,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,26,0.6666666666666666,0.775,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,27,0.6923076923076923,0.775,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,28,0.717948717948718,0.8,0.09999999999999999
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,29,0.7435897435897436,0.85,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,30,0.7692307692307693,0.825,0.1274754878398196
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,31,0.7948717948717948,0.85,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,32,0.8205128205128205,0.85,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,33,0.8461538461538461,0.85,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,34,0.8717948717948718,0.85,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,35,0.8974358974358975,0.85,0.1224744871391589
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,36,0.9230769230769231,0.8,0.1274754878398196
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,37,0.9487179487179487,0.775,0.09354143466934853
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,38,0.9743589743589743,0.725,0.09354143466934853
meta-llama/Llama-2-13b-hf,llama,Llama 2,13B,base,gender,39,1.0,0.725,0.09354143466934853
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,0,0.0,0.475,0.16583123951777
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,1,0.02564102564102564,0.55,0.15
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,2,0.05128205128205128,0.65,0.1457737973711325
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,3,0.07692307692307693,0.575,0.1695582495781317
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,4,0.10256410256410256,0.525,0.18371173070873836
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,5,0.1282051282051282,0.675,0.15
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,6,0.15384615384615385,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,7,0.1794871794871795,0.7,0.1695582495781317
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,8,0.20512820512820512,0.725,0.16583123951777
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,9,0.23076923076923078,0.625,0.11180339887498948
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,10,0.2564102564102564,0.65,0.18371173070873836
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,11,0.28205128205128205,0.675,0.15
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,12,0.3076923076923077,0.7,0.21794494717703367
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,13,0.3333333333333333,0.75,0.15811388300841897
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,14,0.358974358974359,0.7,0.203100960115899
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,15,0.38461538461538464,0.675,0.203100960115899
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,16,0.41025641025641024,0.7,0.257390753524675
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,17,0.4358974358974359,0.725,0.21505813167606566
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,18,0.46153846153846156,0.725,0.2
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,19,0.48717948717948717,0.75,0.22360679774997896
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,20,0.5128205128205128,0.7,0.21794494717703367
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,21,0.5384615384615384,0.725,0.2
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,22,0.5641025641025641,0.75,0.22360679774997896
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,23,0.5897435897435898,0.75,0.22360679774997896
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,24,0.6153846153846154,0.725,0.21505813167606566
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,25,0.6410256410256411,0.7,0.203100960115899
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,26,0.6666666666666666,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,27,0.6923076923076923,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,28,0.717948717948718,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,29,0.7435897435897436,0.725,0.21505813167606566
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,30,0.7692307692307693,0.725,0.16583123951777
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,31,0.7948717948717948,0.725,0.16583123951777
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,32,0.8205128205128205,0.725,0.21505813167606566
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,33,0.8461538461538461,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,34,0.8717948717948718,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,35,0.8974358974358975,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,36,0.9230769230769231,0.75,0.1767766952966369
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,37,0.9487179487179487,0.75,0.13693063937629152
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,38,0.9743589743589743,0.725,0.09354143466934853
meta-llama/Llama-2-13b-chat-hf,llama,Llama 2,13B,instruct,gender,39,1.0,0.725,0.09354143466934853
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,0,0.0,0.7,0.12747548783981963
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,1,0.03225806451612903,0.625,0.15811388300841897
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,2,0.06451612903225806,0.65,0.21505813167606566
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,3,0.0967741935483871,0.725,0.2
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,4,0.12903225806451613,0.7,0.203100960115899
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,5,0.16129032258064516,0.725,0.1457737973711325
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,6,0.1935483870967742,0.725,0.1457737973711325
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,7,0.22580645161290322,0.7,0.18708286933869706
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,8,0.25806451612903225,0.7,0.21794494717703367
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,9,0.2903225806451613,0.75,0.2091650066335189
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,10,0.3225806451612903,0.75,0.15811388300841897
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,11,0.3548387096774194,0.725,0.1224744871391589
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,12,0.3870967741935484,0.75,0.13693063937629152
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,13,0.41935483870967744,0.75,0.13693063937629152
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,14,0.45161290322580644,0.75,0.13693063937629152
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,15,0.4838709677419355,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,16,0.5161290322580645,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,17,0.5483870967741935,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,18,0.5806451612903226,0.85,0.09354143466934853
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,19,0.6129032258064516,0.8,0.15
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,20,0.6451612903225806,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,21,0.6774193548387096,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,22,0.7096774193548387,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,23,0.7419354838709677,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,24,0.7741935483870968,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,25,0.8064516129032258,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,26,0.8387096774193549,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,27,0.8709677419354839,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,28,0.9032258064516129,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,29,0.9354838709677419,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,30,0.967741935483871,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B,llama,Llama 3.1,8B,base,gender,31,1.0,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,0,0.0,0.725,0.1457737973711325
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,1,0.03225806451612903,0.6,0.1224744871391589
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,2,0.06451612903225806,0.675,0.1695582495781317
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,3,0.0967741935483871,0.75,0.22360679774997896
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,4,0.12903225806451613,0.75,0.2622022120425379
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,5,0.16129032258064516,0.725,0.1457737973711325
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,6,0.1935483870967742,0.7,0.18708286933869706
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,7,0.22580645161290322,0.8,0.09999999999999999
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,8,0.25806451612903225,0.75,0.1767766952966369
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,9,0.2903225806451613,0.775,0.18371173070873836
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,10,0.3225806451612903,0.775,0.1457737973711325
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,11,0.3548387096774194,0.775,0.1457737973711325
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,12,0.3870967741935484,0.8,0.1695582495781317
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,13,0.41935483870967744,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,14,0.45161290322580644,0.8,0.09999999999999999
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,15,0.4838709677419355,0.85,0.18371173070873836
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,16,0.5161290322580645,0.825,0.18708286933869706
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,17,0.5483870967741935,0.8,0.15
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,18,0.5806451612903226,0.775,0.1457737973711325
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,19,0.6129032258064516,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,20,0.6451612903225806,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,21,0.6774193548387096,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,22,0.7096774193548387,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,23,0.7419354838709677,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,24,0.7741935483870968,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,25,0.8064516129032258,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,26,0.8387096774193549,0.8,0.15
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,27,0.8709677419354839,0.8,0.15
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,28,0.9032258064516129,0.825,0.1274754878398196
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,29,0.9354838709677419,0.775,0.1457737973711325
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,30,0.967741935483871,0.775,0.1457737973711325
meta-llama/Llama-3.1-8B-Instruct,llama,Llama 3.1,8B,instruct,gender,31,1.0,0.775,0.09354143466934853
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,0,0.0,0.525,0.049999999999999996
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,1,0.03225806451612903,0.675,0.1
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,2,0.06451612903225806,0.65,0.049999999999999996
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,3,0.0967741935483871,0.675,0.06123724356957945
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,4,0.12903225806451613,0.675,0.06123724356957946
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,5,0.16129032258064516,0.75,0.13693063937629152
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,6,0.1935483870967742,0.775,0.1457737973711325
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,7,0.22580645161290322,0.775,0.1457737973711325
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,8,0.25806451612903225,0.8,0.1274754878398196
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,9,0.2903225806451613,0.775,0.1224744871391589
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,10,0.3225806451612903,0.75,0.11180339887498948
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,11,0.3548387096774194,0.7,0.09999999999999999
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,12,0.3870967741935484,0.7,0.1274754878398196
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,13,0.41935483870967744,0.775,0.09354143466934853
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,14,0.45161290322580644,0.725,0.09354143466934853
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,15,0.4838709677419355,0.775,0.09354143466934853
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,16,0.5161290322580645,0.8,0.09999999999999999
mistralai/Mistral-7B-v0.3,mistral,Mistral v0.3,7B,base,gender,17,0.5483870967741935,0.8,0.09999999999999999
