family,generation,size,base_id,instruct_id,attribute,layer,depth_frac,cosine
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,27,0.6923076923076923,0.8875042065983033
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,28,0.717948717948718,0.8901301491415679
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,29,0.7435897435897436,0.8901849854212982
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,30,0.7692307692307693,0.8885109954184887
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,31,0.7948717948717948,0.8916508490831166
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,32,0.8205128205128205,0.8890401588726201
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,33,0.8461538461538461,0.8872170381079338
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,34,0.8717948717948718,0.8857834202985072
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,35,0.8974358974358975,0.8850430846214294
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,36,0.9230769230769231,0.887723445892334
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,37,0.9487179487179487,0.8859118751234933
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,38,0.9743589743589743,0.8805987763761745
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,39,1.0,0.8803701329451878
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,0,0.0,0.9365217685699463
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,1,0.03225806451612903,0.9607334136962891
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,2,0.06451612903225806,0.9391812645901003
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,3,0.0967741935483871,0.9566261716635398
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,4,0.12903225806451613,0.9555136561393738
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,5,0.16129032258064516,0.9331125617027283
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,6,0.1935483870967742,0.9258320331573486
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,7,0.22580645161290322,0.9193962764380142
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,8,0.25806451612903225,0.8994204998016357
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,9,0.2903225806451613,0.8764048218727112
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,10,0.3225806451612903,0.8621648550033569
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,11,0.3548387096774194,0.8447579052900019
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,12,0.3870967741935484,0.8372058272361755
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,13,0.41935483870967744,0.836531092913812
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,14,0.45161290322580644,0.8449909687042236
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,15,0.4838709677419355,0.8767012806774681
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,16,0.5161290322580645,0.8873869709603173
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,17,0.5483870967741935,0.9021817562363438
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,18,0.5806451612903226,0.9050554576549207
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,19,0.6129032258064516,0.9027336835861206
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,20,0.6451612903225806,0.9045180621455945
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,21,0.6774193548387096,0.9175286839919498
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,22,0.7096774193548387,0.9220967842398158
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,23,0.7419354838709677,0.9270790815353394
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,24,0.7741935483870968,0.9262588576232706
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,25,0.8064516129032258,0.924562931060791
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,26,0.8387096774193549,0.9257799386978149
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,27,0.8709677419354839,0.9214120460398224
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,28,0.9032258064516129,0.9195294380187988
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,29,0.9354838709677419,0.9264468506840975
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,30,0.967741935483871,0.9282362461090088
llama,Llama 3.1,8B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gender,31,1.0,0.9447923898696899
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,0,0.0,0.993593692779541
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,1,0.037037037037037035,0.9923713207244873
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,2,0.07407407407407407,0.9859451055526733
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,3,0.1111111111111111,0.9884737127109595
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,4,0.14814814814814814,0.9811418652534485
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,5,0.18518518518518517,0.9740079045295715
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,6,0.2222222222222222,0.9586592863391945
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,7,0.25925925925925924,0.9532574415206909
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,8,0.2962962962962963,0.9506358504295349
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,9,0.3333333333333333,0.918441653251648
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,10,0.37037037037037035,0.9101075476472108
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,11,0.4074074074074074,0.8909351890721868
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,12,0.4444444444444444,0.8841676712036133
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,13,0.48148148148148145,0.889778196811676
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,14,0.5185185185185185,0.876488313256298
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,15,0.5555555555555556,0.8681664984325468
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,16,0.5925925925925926,0.8634785413742065
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,17,0.6296296296296297,0.8635835647583008
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,18,0.6666666666666666,0.8597118854522705
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,19,0.7037037037037037,0.9028744697570801
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,20,0.7407407407407407,0.8970843492200583
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,21,0.7777777777777778,0.9017866253852844
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,22,0.8148148148148148,0.9109495878219604
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,23,0.8518518518518519,0.9088956117630005
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,24,0.8888888888888888,0.914360761642456
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,25,0.9259259259259259,0.9166237115859985
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,26,0.9629629629629629,0.9212771058082581
qwen,Qwen 2.5,7B,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,gender,27,1.0,0.9331660191018571
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,0,0.0,0.9850832811047603
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,1,0.024390243902439025,0.9763422608375549
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,2,0.04878048780487805,0.9574857328823646
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,3,0.07317073170731707,0.938690721988678
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,4,0.0975609756097561,0.9118054404026763
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,5,0.12195121951219512,0.9096358364603422
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,6,0.14634146341463414,0.8795861601829529
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,7,0.17073170731707318,0.8409175872802734
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,8,0.1951219512195122,0.8391175770233618
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,9,0.21951219512195122,0.8026066422462463
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,10,0.24390243902439024,0.809454083442688
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,11,0.2682926829268293,0.7902143001556396
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,12,0.2926829268292683,0.7813904751175925
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,13,0.3170731707317073,0.7857852237480613
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,14,0.34146341463414637,0.7624781727790833
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,15,0.36585365853658536,0.7318835258483887
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,16,0.3902439024390244,0.7178484797477722
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,17,0.4146341463414634,0.7165209482026665
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,18,0.43902439024390244,0.6678432822227478
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,19,0.4634146341463415,0.6598833799362183
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,20,0.4878048780487805,0.6415591622328259
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,21,0.5121951219512195,0.6894099342119615
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,22,0.5365853658536586,0.7035979451893536
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,23,0.5609756097560976,0.6958779511378974
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,24,0.5853658536585366,0.730958104133606
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,25,0.6097560975609756,0.7427272489937814
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,26,0.6341463414634146,0.7843358516693115
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,27,0.6585365853658537,0.8030580282211304
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,28,0.6829268292682927,0.8103246092796326
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,29,0.7073170731707317,0.8125607855654231
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,30,0.7317073170731707,0.8180947303771973
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,31,0.7560975609756098,0.816403865814209
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,32,0.7804878048780488,0.8128904104232788
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,33,0.8048780487804879,0.8120036609175003
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,34,0.8292682926829268,0.8095508217811584
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,35,0.8536585365853658,0.807078994164344
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,36,0.8780487804878049,0.8075209856033325
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,37,0.9024390243902439,0.8105800038921835
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,38,0.926829268292683,0.8058608174324036
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,39,0.9512195121951219,0.7813409436548319
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,40,0.975609756097561,0.7721574170683275
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,gender,41,1.0,0.7005918025970459
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,0,0.0,0.03308304793632602
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,1,0.030303030303030304,-0.0036990344400873445
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,2,0.06060606060606061,0.028969881784305682
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,3,0.09090909090909091,0.022286319570918058
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,4,0.12121212121212122,0.012376287564788722
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,5,0.15151515151515152,0.009668908081948757
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,6,0.18181818181818182,-0.005463386234535428
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,7,0.21212121212121213,-0.012151327294348504
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,8,0.24242424242424243,-0.008099306408978244
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,9,0.2727272727272727,0.0020950809121131897
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,10,0.30303030303030304,0.013648194143068441
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,11,0.3333333333333333,0.008795217203808856
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,12,0.36363636363636365,0.011214015074074268
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,13,0.3939393939393939,0.0019992167390416107
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,14,0.42424242424242425,0.0023304786525206954
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,15,0.45454545454545453,-0.002229060179237138
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,16,0.48484848484848486,-0.0044151609763503075
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,17,0.5151515151515151,-0.015315478667616844
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,18,0.5454545454545454,-0.006982116959989071
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,19,0.5757575757575758,-0.008379928767681122
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,20,0.6060606060606061,-0.002710632048547268
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,21,0.6363636363636364,-0.00936916097998619
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,22,0.6666666666666666,-0.0041890619322657585
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,gender,23,0.696969696969697,-0.0034488547207290267
