model_a,model_b,layer,hidden_dim,cosine
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,19,3584,0.004010031931102276
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,20,3584,0.014516792260110378
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,21,3584,-0.0016020901966840029
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,22,3584,0.003385879099369049
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,23,3584,-0.01035150047391653
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,24,3584,-0.005836988799273968
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,25,3584,-0.021414408460259438
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,26,3584,-0.00468725711107254
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,27,3584,-0.01825800910592079
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,0,3584,-0.009200232103466988
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,1,3584,-0.00480309221893549
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,2,3584,0.017369497567415237
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,3,3584,0.027241187170147896
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,4,3584,0.008510424755513668
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,5,3584,-0.0020717589650303125
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,6,3584,-0.0022495274897664785
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,7,3584,-0.02718110755085945
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,8,3584,-0.01501467078924179
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,9,3584,-0.016643689945340157
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,10,3584,-0.01175941713154316
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,11,3584,0.004091678187251091
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,12,3584,0.001447622082196176
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,13,3584,0.00017896760255098343
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,14,3584,-0.004208557773381472
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,15,3584,-0.009295429103076458
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,16,3584,-0.00033836904913187027
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,17,3584,0.005158119834959507
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,18,3584,-0.006053574848920107
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,19,3584,0.0074019646272063255
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,20,3584,0.004914131946861744
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,21,3584,-0.0026017380878329277
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,22,3584,0.013910345733165741
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,23,3584,0.009458670392632484
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,24,3584,0.0015416312962770462
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,25,3584,-0.0014055046485736966
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,26,3584,0.004555676598101854
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b-it,27,3584,0.005744997411966324
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,0,5120,0.010451669804751873
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,1,5120,-0.008996141143143177
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,2,5120,0.001852871384471655
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,3,5120,-0.01409245003014803
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,4,5120,0.004524624906480312
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,5,5120,0.009927102364599705
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,6,5120,0.013871283270418644
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,7,5120,0.018425224348902702
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,8,5120,0.041304100304841995
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,9,5120,0.020769042894244194
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,10,5120,0.015210878103971481
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,11,5120,0.026023972779512405
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,12,5120,0.016357244923710823
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,13,5120,0.013652918860316277
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,14,5120,0.012377426028251648
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,15,5120,0.013943172059953213
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,16,5120,0.0023388974368572235
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,17,5120,0.0037558157928287983
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,18,5120,0.02157646231353283
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,19,5120,0.01593206077814102
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,20,5120,0.008514994755387306
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,21,5120,0.0034595360048115253
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,22,5120,-0.0007987652788870037
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,23,5120,0.01147002074867487
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,24,5120,0.014221117831766605
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,25,5120,0.02121691405773163
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,26,5120,0.028315942734479904
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,27,5120,0.015863876789808273
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,28,5120,0.014960593543946743
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,29,5120,0.010449806228280067
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,30,5120,0.008356858044862747
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,31,5120,0.008542369119822979
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,32,5120,0.004631427116692066
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,33,5120,0.012745783664286137
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,34,5120,0.00926562212407589
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,35,5120,0.01640520803630352
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,36,5120,0.003339851275086403
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,37,5120,0.007454771548509598
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,38,5120,0.010526617057621479
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Base-2501,39,5120,0.016748787835240364
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,0,5120,0.01039845123887062
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,1,5120,-0.0036945557221770287
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,2,5120,0.00041940182563848794
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,3,5120,-0.016763193532824516
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,4,5120,0.008324166759848595
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,5,5120,0.012472076341509819
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,6,5120,0.005178461316972971
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,7,5120,0.014436687342822552
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,8,5120,0.02741427719593048
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,9,5120,0.024343615397810936
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,10,5120,0.011586272157728672
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,11,5120,0.01988769881427288
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,12,5120,0.01973832957446575
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,13,5120,0.011672324500977993
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,14,5120,0.01448659598827362
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,15,5120,0.0039019244723021984
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,16,5120,0.006281184498220682
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,17,5120,0.003411761950701475
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,18,5120,0.014707745052874088
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,19,5120,0.012613586150109768
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,20,5120,0.0037226546555757523
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,21,5120,-0.0016658068634569645
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,22,5120,0.004655413329601288
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,23,5120,0.015201577916741371
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,24,5120,0.01591624692082405
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,25,5120,0.023237526416778564
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,26,5120,0.02936789020895958
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,27,5120,0.01945955492556095
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,28,5120,0.024074789136648178
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,29,5120,0.019770270213484764
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,30,5120,0.016791295260190964
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,31,5120,0.01362399011850357
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,32,5120,0.008609275333583355
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,33,5120,0.011043946258723736
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,34,5120,0.007889224216341972
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,35,5120,0.011969194747507572
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,36,5120,0.0001501627266407013
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,37,5120,0.005090177059173584
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,38,5120,0.010844546370208263
meta-llama__Llama-2-13b-chat-hf,mistralai__Mistral-Small-24B-Instruct-2501,39,5120,0.017612630501389503
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,0,5120,0.005411460530012846
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,1,5120,-0.009404030628502369
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,2,5120,-0.004609403666108847
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,3,5120,-0.009516929276287556
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,4,5120,0.011642897501587868
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,5,5120,0.00973288994282484
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,6,5120,0.01207374595105648
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,7,5120,0.012435585260391235
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,8,5120,0.020291825756430626
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,9,5120,0.009891584515571594
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,10,5120,0.016705244779586792
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,11,5120,0.022331133484840393
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,12,5120,0.018311161547899246
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,13,5120,0.008265402168035507
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,14,5120,0.0052686212584376335
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,15,5120,0.010417237877845764
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,16,5120,0.0037702887784689665
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,17,5120,0.002331523457542062
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,18,5120,0.019900845363736153
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,19,5120,0.015781166031956673
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,20,5120,0.013292011804878712
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,21,5120,0.0031805443577468395
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,22,5120,0.0013949497370049357
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,23,5120,0.011195337399840355
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,24,5120,0.010217376053333282
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,25,5120,0.01906072162091732
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,26,5120,0.0266751516610384
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,27,5120,0.017398551106452942
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,28,5120,0.018450312316417694
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,29,5120,0.009267225861549377
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,30,5120,0.010462849400937557
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,31,5120,0.009220986627042294
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,32,5120,0.003904622048139572
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,33,5120,0.010912480764091015
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,34,5120,0.00918793585151434
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,35,5120,0.014796977862715721
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,36,5120,0.005216456484049559
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,37,5120,0.0060629150830209255
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,38,5120,0.012505813501775265
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Base-2501,39,5120,0.017349988222122192
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,0,5120,0.005592735018581152
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,1,5120,-0.005891746841371059
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,2,5120,-0.0029035883489996195
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,3,5120,-0.013519246131181717
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,4,5120,0.011201641522347927
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,5,5120,0.008963844738900661
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,6,5120,0.0010159630328416824
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,7,5120,0.013376226648688316
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,8,5120,0.012889294885098934
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,9,5120,0.018207143992185593
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,10,5120,0.017474494874477386
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,11,5120,0.01798429526388645
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,12,5120,0.01095679309219122
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,13,5120,-0.01141208317130804
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,14,5120,4.4318847358226776e-05
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,15,5120,-0.002430757973343134
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,16,5120,0.008085186593234539
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,17,5120,0.004656938370317221
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,18,5120,0.011808608658611774
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,19,5120,0.01228655781596899
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,20,5120,0.009086797013878822
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,21,5120,-0.002836704021319747
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,22,5120,0.005277385003864765
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,23,5120,0.015955360606312752
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,24,5120,0.011385577730834484
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,25,5120,0.0183882899582386
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,26,5120,0.026607275009155273
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,27,5120,0.015885572880506516
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,28,5120,0.02024398185312748
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,29,5120,0.011207764968276024
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,30,5120,0.013373617082834244
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,31,5120,0.009621626697480679
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,32,5120,0.005740864668041468
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,33,5120,0.008204924874007702
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,34,5120,0.007854984141886234
meta-llama__Llama-2-13b-hf,mistralai__Mistral-Small-24B-Instruct-2501,35,5120,0.01121835969388485
